zipCode,median_household_income,total_population,total_housing_units,owner_occupied_units,renter_occupied_units,renter_ratio,income_missing
27401,44524,21788,9650,2876,5228,0.5417616580310881,False
27403,56722,20675,8671,4083,3617,0.417137585053627,False
27405,46498,52525,21762,9767,10171,0.4673743222130319,False
27406,56748,63661,28080,14276,11698,0.4165954415954416,False
27407,59308,52583,23861,10350,11555,0.4842630233435313,False
27408,89524,16229,8043,5420,2112,0.26258858634837745,False
27409,57862,16927,9616,2779,5732,0.596089850249584,False
27410,84225,54317,26279,15543,8385,0.3190760683435443,False
27260,41817,25941,11233,3994,5813,0.5174931006854803,False
27262,64395,26137,10246,5332,3682,0.3593597501463986,False
27265,70929,50123,22526,14477,6889,0.3058243807156175,False
27101,44611,21881,11958,3378,6742,0.5638066566315437,False
27103,66582,33978,17884,8766,7390,0.41321851934690224,False
27104,77056,31184,15082,8438,5547,0.36778941784909164,False
27105,41580,41257,18130,8165,6853,0.37799227799227797,False
27106,66091,49296,22491,10469,9339,0.4152327597705749,False
27107,59897,51305,20767,12912,6078,0.2926758800019261,False
27127,63822,41450,18126,10746,5728,0.3160101511640737,False
27284,80739,57119,25168,16995,6564,0.2608073744437381,False
27295,65446,38521,16775,11819,3822,0.22783904619970194,False
27292,54468,40369,18749,10771,5273,0.28124166622219854,False
27312,100505,22443,10613,7783,2109,0.19871855271836428,False
27320,55491,38610,17876,11976,4040,0.22600134258223317,False
27360,60898,48520,20987,13165,6100,0.2906561204555201,False
