id,formattedAddress,addressLine1,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,bedrooms,bathrooms,squareFootage,yearBuilt,has_hoa
"15-Saltford-Ln,-Unit-14B,-Greensboro,-NC-27455","15 Saltford Ln, Unit 14B, Greensboro, NC 27455",15 Saltford Ln,Greensboro,NC,37,27455,Guilford,81,36.134022,-79.801239,Townhouse,1742.0,Active,304500,New Construction,2024-04-15T00:00:00.000Z,2024-04-16T00:00:00.000Z,2026-04-26T10:19:57.367Z,742,TriadMLS,1139387.0,"{'2024-04-15': {'event': 'Sale Listing', 'price': 304500, 'listingType': 'New Construction', 'listedDate': '2024-04-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 742}}",3.0,2.5,1762.0,2024.0,1
"1907-Pembroke-Rd,-Greensboro,-NC-27408","1907 Pembroke Rd, Greensboro, NC 27408",1907 Pembroke Rd,Greensboro,NC,37,27408,Guilford,81,36.094984,-79.81078,Single Family,19602.0,Active,565000,Standard,2024-06-07T00:00:00.000Z,2024-06-08T00:00:00.000Z,2026-04-26T10:19:57.365Z,689,TriadMLS,1144349.0,"{'2024-06-07': {'event': 'Sale Listing', 'price': 565000, 'listingType': 'Standard', 'listedDate': '2024-06-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 689}}",3.0,2.5,2776.0,1953.0,0
"4105-Davis-Ridge-Ct,-Greensboro,-NC-27405","4105 Davis Ridge Ct, Greensboro, NC 27405",4105 Davis Ridge Ct,Greensboro,NC,37,27405,Guilford,81,36.0652,-79.714476,Single Family,8276.0,Active,236000,Standard,2024-09-09T00:00:00.000Z,2024-09-10T00:00:00.000Z,2026-04-26T10:19:57.358Z,595,TriadMLS,1154991.0,"{'2024-09-09': {'event': 'Sale Listing', 'price': 236000, 'listingType': 'Standard', 'listedDate': '2024-09-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 595}}",3.0,2.5,1220.0,2017.0,0
"201-N-Elm-St,-Ste-1001,-Greensboro,-NC-27401","201 N Elm St, Ste 1001, Greensboro, NC 27401",201 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.073668,-79.790679,Condo,436.0,Active,441450,Standard,2024-12-11T00:00:00.000Z,2022-04-12T16:41:12.318Z,2026-04-26T10:19:57.349Z,502,TriadMLS,1165132.0,"{'2023-12-29': {'event': 'Sale Listing', 'price': 545000, 'listingType': 'Standard', 'listedDate': '2023-12-29T00:00:00.000Z', 'removedDate': '2024-11-09T00:00:00.000Z', 'daysOnMarket': 316}, '2024-12-11': {'event': 'Sale Listing', 'price': 441450, 'listingType': 'Standard', 'listedDate': '2024-12-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 502}}",3.0,3.0,2018.0,2009.0,1
"605-W-Market-St,-Unit-408,-Greensboro,-NC-27401","605 W Market St, Unit 408, Greensboro, NC 27401",605 W Market St,Greensboro,NC,37,27401,Guilford,81,36.072436,-79.797514,Condo,436.0,Active,385000,Standard,2025-01-09T00:00:00.000Z,2020-09-20T17:46:20.307Z,2026-04-26T10:19:57.347Z,473,TriadMLS,1166778.0,"{'2025-01-09': {'event': 'Sale Listing', 'price': 385000, 'listingType': 'Standard', 'listedDate': '2025-01-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 473}}",2.0,2.5,1783.0,2007.0,0
"1819-J-Ave,-Greensboro,-NC-27403","1819 J Ave, Greensboro, NC 27403",1819 J Ave,Greensboro,NC,37,27403,Guilford,81,36.049544,-79.821516,Single Family,8712.0,Active,145000,Standard,2025-01-13T00:00:00.000Z,2022-05-12T10:09:33.970Z,2026-04-26T10:19:57.345Z,469,MyStateMLS,11406933.0,"{'2025-01-13': {'event': 'Sale Listing', 'price': 145000, 'listingType': 'Standard', 'listedDate': '2025-01-13T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 469}}",3.0,1.0,1184.0,1947.0,0
"212-W-Cornwallis-Dr,-Greensboro,-NC-27408","212 W Cornwallis Dr, Greensboro, NC 27408",212 W Cornwallis Dr,Greensboro,NC,37,27408,Guilford,81,36.103142,-79.791231,Single Family,17424.0,Active,525000,Standard,2025-03-29T00:00:00.000Z,2024-09-20T00:00:00.000Z,2026-04-26T10:19:57.323Z,394,TriadMLS,1175304.0,"{'2024-09-19': {'event': 'Sale Listing', 'price': 340000, 'listingType': 'Standard', 'listedDate': '2024-09-19T00:00:00.000Z', 'removedDate': '2024-10-02T00:00:00.000Z', 'daysOnMarket': 13}, '2025-03-29': {'event': 'Sale Listing', 'price': 525000, 'listingType': 'Standard', 'listedDate': '2025-03-29T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 394}}",4.0,3.5,2426.0,1957.0,0
"1101-N-Elm-St,-Unit-104,-Greensboro,-NC-27401","1101 N Elm St, Unit 104, Greensboro, NC 27401",1101 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.088294,-79.789627,Condo,436.0,Active,139500,Standard,2025-04-14T00:00:00.000Z,2025-04-15T00:00:00.000Z,2026-04-26T10:19:57.318Z,378,TriadMLS,1177269.0,"{'2025-04-14': {'event': 'Sale Listing', 'price': 139500, 'listingType': 'Standard', 'listedDate': '2025-04-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 378}}",2.0,2.0,1056.0,1963.0,1
"201-N-Elm-St,-Ste-703,-Greensboro,-NC-27401","201 N Elm St, Ste 703, Greensboro, NC 27401",201 N Elm St,Greensboro,NC,37,27401,Guilford,81,36.073909,-79.790659,Condo,436.0,Active,468180,Standard,2025-05-15T00:00:00.000Z,2023-10-05T00:00:00.000Z,2026-04-26T10:19:57.317Z,347,TriadMLS,1181165.0,"{'2023-10-04': {'event': 'Sale Listing', 'price': 578000, 'listingType': 'Standard', 'listedDate': '2023-10-04T00:00:00.000Z', 'removedDate': '2024-11-09T00:00:00.000Z', 'daysOnMarket': 402}, '2025-05-15': {'event': 'Sale Listing', 'price': 468180, 'listingType': 'Standard', 'listedDate': '2025-05-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 347}}",3.0,3.0,2349.0,2009.0,1
"2414-Stanley-Rd,-Greensboro,-NC-27407","2414 Stanley Rd, Greensboro, NC 27407",2414 Stanley Rd,Greensboro,NC,37,27407,Guilford,81,36.039292,-79.890065,Single Family,205603.0,Active,799900,Standard,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2026-04-26T10:19:57.314Z,323,TriadMLS,1183728.0,"{'2025-06-08': {'event': 'Sale Listing', 'price': 799900, 'listingType': 'Standard', 'listedDate': '2025-06-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 323}}",3.0,2.0,1776.0,1968.0,0
